location,count,link
"united states--columbia river",6,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--columbia%20river"
"united states--washington (state)--kitsap county",6,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--kitsap%20county"
"united states--washington (state)--okanogan county--colville indian reservation",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--okanogan%20county--colville%20indian%20reservation"
"united states--wyoming--yellowstone national park",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--wyoming--yellowstone%20national%20park"
"united states--nebraska",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--nebraska"
"united states--washington (state)--benton county",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--benton%20county"
"united states--washington (state)--grays harbor county",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--grays%20harbor%20county"
"canada",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#canada"
"north and central america--northwest coast",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#north%20and%20central%20america--northwest%20coast"
"united states--washington (terr.)--rosario strait",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--rosario%20strait"
"united states--washington (state)--skamania county",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--skamania%20county"
"united states--washington (state)--skagit county",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--skagit%20county"
"north and central america--northwest coast--georgia strait",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#north%20and%20central%20america--northwest%20coast--georgia%20strait"
"united states--washington (state)--thurston county",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--thurston%20county"
"united states--washington (state)--douglas county",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--douglas%20county"
"united states--washington (state)--lincoln county",5,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--lincoln%20county"
"united states--washington (state)--okanogan county--omak",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--okanogan%20county--omak"
"united states--washington (state)--mount baker national forest",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--mount%20baker%20national%20forest"
"united states--missouri",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--missouri"
"united states--washington (terr.)--puget sound",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--puget%20sound"
"united states--oregon--columbia river",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--oregon--columbia%20river"
"united states--idaho--nez perce county--lewiston",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho--nez%20perce%20county--lewiston"
"united states--washington (state)--yakima county--sunnyside",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--yakima%20county--sunnyside"
"united states--washington (state)--franklin county--pasco",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--franklin%20county--pasco"
"united states--idaho--kootenai county",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho--kootenai%20county"
"united states--washington (terr.)--king county--seattle",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--king%20county--seattle"
"united states--washington (state)--pend oreille county",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--pend%20oreille%20county"
"united states--washington (state)--island county",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--island%20county"
"united states--washington (state)--garfield county",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--garfield%20county"
"united states--washington (state)--king county--elliott bay",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--king%20county--elliott%20bay"
"united states--washington (state)--columbia county",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--columbia%20county"
"united states--washington (state)--franklin county",4,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--franklin%20county"
"united states--oregon--umatilla county",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--oregon--umatilla%20county"
"united states--washington (terr.)--whitman county--pullman",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--whitman%20county--pullman"
"united states--washington (terr.)--spokane county--spokane falls",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--spokane%20county--spokane%20falls"
"united states--oregon--multnomah county--portland",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--oregon--multnomah%20county--portland"
"north and central america--northwest coast--strait of georgia",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#north%20and%20central%20america--northwest%20coast--strait%20of%20georgia"
"united states--washington (state)--whitman county--johnson",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--johnson"
"united states--washington (state)--pierce county--mount rainier national park",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--pierce%20county--mount%20rainier%20national%20park"
"united states--washington (state)--whitman county--albion",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--albion"
"united states--washington (state)--whitman county--guy",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--guy"
"united states--washington (terr.)--pierce county--tacoma",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--pierce%20county--tacoma"
"united states--washington (state)--walla walla county--walla walla",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--walla%20walla%20county--walla%20walla"
"gulf of georgia",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#gulf%20of%20georgia"
"united states--illinois",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--illinois"
"united states--washington (state)--mount rainier national park",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--mount%20rainier%20national%20park"
"united states--washington (state)--okanogan national forest",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--okanogan%20national%20forest"
"alaska",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#alaska"
"united states--washington (state)--washington forest reserve",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--washington%20forest%20reserve"
"united states--washington (state)--whitman county--penawawa",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--penawawa"
"united states--washington (state)--columbia county--starbuck",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--columbia%20county--starbuck"
"canada--british columbia--vancouver island",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#canada--british%20columbia--vancouver%20island"
"united states--washington (state)--whitman county--palouse",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--palouse"
"united states--new mexico",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--new%20mexico"
"united states--washington (terr.)--san juan county--san juan islands",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--san%20juan%20county--san%20juan%20islands"
"united states--washington (state)--whitman county--belmont",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--belmont"
"united states--washington (state)--wenatchee national forest",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--wenatchee%20national%20forest"
"united states--washington (state)--spokane county--spokane region",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--spokane%20county--spokane%20region"
"united states--washington (state)--whitman county--garfield",3,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--garfield"
"united states--washington (state)--whitman county--farmington",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--farmington"
"united states--washington (state)--whitman county--colton",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--colton"
"united states--washington (state)--snohomish county--everett",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--snohomish%20county--everett"
"united states--washington (state)--whitman county--diamond",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--diamond"
"united states--washington (state)--whitman county--endicott",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--endicott"
"united states--washington (state)--whitman county--almota",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--almota"
"united states--washington (state)--whitman county--revere",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--revere"
"asia--russia--siberia",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#asia--russia--siberia"
"united states--washington (state)--pacific county",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--pacific%20county"
"united states--idaho--snake river",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho--snake%20river"
"united states--washington (terr.)--coast",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--coast"
"united states--washington (state)--thurston county--olympia",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--thurston%20county--olympia"
"united states--washington (state)--whitman county--uniontown",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--uniontown"
"united states--oregon--clatsop county--astoria",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--oregon--clatsop%20county--astoria"
"united states--washington (state)--spokane river",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--spokane%20river"
"united states--washington (state)--whitman county--winona",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--winona"
"united states--washington (state)--whitman county--thornton",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--thornton"
