location,count,link
"wilmington, new hanover county, north carolina, united states",9,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#wilmington,%20new%20hanover%20county,%20north%20carolina,%20united%20states"
"high point, guilford county, north carolina, united states",9,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#high%20point,%20guilford%20county,%20north%20carolina,%20united%20states"
"fayetteville, cumberland county, north carolina, united states",9,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#fayetteville,%20cumberland%20county,%20north%20carolina,%20united%20states"
"rockingham county, north carolina, united states",9,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#rockingham%20county,%20north%20carolina,%20united%20states"
"columbia, tyrrell county, north carolina, united states",8,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#columbia,%20tyrrell%20county,%20north%20carolina,%20united%20states"
"goldsboro, wayne county, north carolina, united states",8,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#goldsboro,%20wayne%20county,%20north%20carolina,%20united%20states"
"kinston, lenoir county, north carolina, united states",8,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#kinston,%20lenoir%20county,%20north%20carolina,%20united%20states"
"iredell county, north carolina, united states",8,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#iredell%20county,%20north%20carolina,%20united%20states"
"onslow county, north carolina, united states",8,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#onslow%20county,%20north%20carolina,%20united%20states"
"edgecombe county, north carolina, united states",7,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#edgecombe%20county,%20north%20carolina,%20united%20states"
"buncombe county, north carolina, united states",7,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#buncombe%20county,%20north%20carolina,%20united%20states"
"laurinburg, scotland county, north carolina, united states",7,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#laurinburg,%20scotland%20county,%20north%20carolina,%20united%20states"
"hendersonville, henderson county, north carolina, united states",7,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#hendersonville,%20henderson%20county,%20north%20carolina,%20united%20states"
"tyrrell county, north carolina, united states",7,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#tyrrell%20county,%20north%20carolina,%20united%20states"
"lillington, harnett county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#lillington,%20harnett%20county,%20north%20carolina,%20united%20states"
"manteo, dare county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#manteo,%20dare%20county,%20north%20carolina,%20united%20states"
"albemarle, stanly county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#albemarle,%20stanly%20county,%20north%20carolina,%20united%20states"
"harnett county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#harnett%20county,%20north%20carolina,%20united%20states"
"sparta, alleghany county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#sparta,%20alleghany%20county,%20north%20carolina,%20united%20states"
"hickory, catawba county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#hickory,%20catawba%20county,%20north%20carolina,%20united%20states"
