subject,count,link
"edgecombe county (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#edgecombe%20county%20(n.c.)"
"forsyth county (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#forsyth%20county%20(n.c.)"
"patent medicines",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#patent%20medicines"
"idioms",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#idioms"
"agriculture--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#agriculture--north%20carolina"
"irish--north carolina--folklore",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#irish--north%20carolina--folklore"
"newspapers--north carolina--charlotte",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#newspapers--north%20carolina--charlotte"
"critus, jemmy",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#critus,%20jemmy"
"humor",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#humor"
"humor in literature",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#humor%20in%20literature"
"chesnutt, charles w. (charles waddell), 1858-1932",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#chesnutt,%20charles%20w.%20(charles%20waddell),%201858-1932"
"fishing--north carolina--cape fear river",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#fishing--north%20carolina--cape%20fear%20river"
"methodism--history",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#methodism--history"
"distilling, illicit--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#distilling,%20illicit--north%20carolina"
"witchcraft-north carolina--henderson county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#witchcraft-north%20carolina--henderson%20county"
"novelists--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#novelists--north%20carolina"
"pierce, ovid williams",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#pierce,%20ovid%20williams"
"walser, richard gaither, 1908-1988",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#walser,%20richard%20gaither,%201908-1988"
